catalog,key,comment,translation
app,,,
app, over de app,, over de app
app,%@ bewerken,,%@ bewerken
app,%@ · %@,,%1$@ · %2$@
app,%@ — %@,,%1$@ — %2$@
app,%@%@,,%1$@%2$@
app,"%@, %lld items",,"%@, %lld items"
app,"%@, taak verplaatsen",,"%@, taak verplaatsen"
app,%lld,,%lld
app,%lld afgerond,,%lld afgerond
app,%lld dagen,,
app,%lld dagen vooraf,,%lld dagen vooraf
app,%lld graden,,%lld graden
app,"%lld graden, afvinken",,"%lld graden, afvinken"
app,"%lld graden, afvinken als afgerond",,"%lld graden, afvinken als afgerond"
app,%lld in afgelopen 7 dagen,,%lld in afgelopen 7 dagen
app,%lld open,,%lld open
app,%lld/%lld,,%1$lld/%2$lld
app,%llde,,%llde
app,%lld°,,%lld°
app,0,,0
app,"0 = vandaag, 1 = morgen",,"0 = vandaag, 1 = morgen"
app,1 jaar,,1 jaar
app,1 januari in week 1,,1 januari in week 1
app,1 open,,1 open
app,"1,5 jaar",,"1,5 jaar"
app,2 jaar,,2 jaar
app,2000,,2000
app,3 maanden,,3 maanden
app,6 maanden,,6 maanden
app,7,,7
app,9 maanden,,9 maanden
app,Aan de slag,,Aan de slag
app,Aangemaakt,,Aangemaakt
app,Aantal,,Aantal
app,Aantal dagen vooraf,,Aantal dagen vooraf
app,Aantal weergeven,,Aantal weergeven
app,Account,,Account
app,Actieknop,,Actieknop
app,Actieknop configureren,,Actieknop configureren
app,Acties voor %@,,Acties voor %@
app,Add Item,,Voeg item toe
app,Afgelopen 10 weken,,Afgelopen 10 weken
app,Afgelopen 12 maanden,,Afgelopen 12 maanden
app,Afgelopen 7 dagen,,Afgelopen 7 dagen
app,Afgerond,,Afgerond
app,Afgerond opschonen,,Afgeronde items opschonen
app,Afgerond verwijderen?,,Afgerond verwijderen?
app,Afgeronde items downloaden als CSV,,Afgeronde items downloaden als CSV
app,Afgeronde items per dag over de afgelopen zeven dagen,,Afgeronde items per dag over de afgelopen zeven dagen
app,Afgeronde items verschijnen hier automatisch en kun je altijd weer terugzetten.,,Afgeronde items verschijnen hier automatisch en kun je altijd weer terugzetten.
app,Afsnijden als het te lang is,,Lange tekst afsnijden
app,Afvinken,,Afvinken
app,Agenda,,Agenda
app,Agenda vooruit laden,,Agenda vooruit laden
app,Agenda-item,,Agenda-item
app,Algemeen,,Algemeen
app,Alle afgeronde en verwijderde items worden definitief verwijderd. Dit kan niet ongedaan worden gemaakt.,,Alle afgeronde en verwijderde items worden definitief verwijderd. Dit kan niet ongedaan worden gemaakt.
app,"Alle agenda-items, taken, herhalingen, afgeronde items en instellingen worden definitief verwijderd. De app start daarna alsof je hem voor het eerst hebt gedownload.",,"Alle agenda-items, taken, herhalingen, afgeronde items en instellingen worden definitief verwijderd. De app start daarna alsof je hem voor het eerst hebt gedownload."
app,Alleen dit item,,Alleen dit item
app,Alleen snel invoerveld,,Alleen snel invoerveld
app,Alleen vandaag,,Alleen vandaag
app,Alles,,Alles
app,Alles bij de hand. Ook als je je telefoon verliest.,,Alles bij de hand. Ook als je je telefoon verliest.
app,"Alles wat je niet wilt vergeten, op één plek.",,"Alles wat je niet wilt vergeten, op één plek."
app,Alles wat past,,Alles wat past
app,"Als je apparaat kwijt raakt, zijn je gegevens niet terug te halen.",,"Als je apparaat kwijtraakt, zijn je gegevens niet terug te halen."
app,Andere datum in agenda...,,Andere datum
app,Andere datum in agenda…,,Andere datum in agenda…
app,Annuleer,,Annuleer
app,App Color,,Appkleur
app,App-taal,,App-taal
app,Apple ID,,Apple ID
app,Apple Weather,,Apple Weather
app,"Apple Weather, broninformatie",,"Apple Weather, broninformatie"
app,"Apple kon deze app niet aanmelden bij WeatherKit. Controleer of WeatherKit voor deze App ID bij zowel App Services als App Capabilities aanstaat. Staat dat al goed, probeer dan later opnieuw; Apple heeft mogelijk een tijdelijke authenticatiestoring.",,"Apple kon deze app niet aanmelden bij WeatherKit. Controleer of WeatherKit voor deze App ID bij zowel App Services als App Capabilities aanstaat. Staat dat al goed, probeer dan later opnieuw; Apple heeft mogelijk een tijdelijke authenticatiestoring."
app,Automatische iCloud-synchronisatie,,Automatische iCloud-synchronisatie
app,Backup,,Backup
app,Backup en herstel,,Backup en herstel
app,Backup mislukt,,Backup mislukt
app,Backup teruggezet. Heropen de app om alle instellingen opnieuw te laden.,,Backup teruggezet. Heropen de app om alle instellingen opnieuw te laden.
app,Backupbestand terugzetten,,Backupbestand terugzetten
app,Beginscherm-widget,,Beginscherm-widget
app,Beginscherm-widget configureren,,Beginscherm-widget configureren
app,Bekijk WeatherKit-instellingen bij Apple,,Bekijk WeatherKit-instellingen bij Apple
app,"Beschrijf nog een taak, of tik rechtsboven op het vinkje om de invoer af te ronden.",,"Schrijf nog een taak, of tik rechtsboven op het vinkje om het toetsenbord te sluiten."
app,Bestemming,,Bestemming
app,Bewaar,,Bewaar
app,Bewaren mislukt,,Bewaren mislukt
app,Bewerken afsluiten,,Bewerken afsluiten
app,Bij indrukken,,Bij indrukken
app,"Bij slimme weergave worden Taken over de volledige breedte getoond als er geen kalenderitems zijn, en andersom. Zo wordt er minder snel tekst afgesneden.",,"Bij slimme weergave worden Taken over de volledige breedte getoond als er geen kalenderitems zijn, en andersom. Zo wordt er minder snel tekst afgesneden."
app,Binnenkort,,Binnenkort
app,Blauw,,Blauw
app,Bovenste taken,,Bovenste taken
app,Bron,,Bron
app,Bruin,,Bruin
app,Cadeau-idee of andere herinnering...,,Cadeau-idee of andere herinnering...
app,Categorie,,Categorie
app,Categorie in Taken kiezen,,Categorie in Taken kiezen
app,Categorie verwijderen,,Categorie verwijderen
app,Compacte categorieën tonen alleen de titel en eerstvolgende datum. Feestdagen staan standaard compact.,,Compacte categorieën tonen alleen de titel en eerstvolgende datum. Feestdagen staan standaard compact.
app,Compacte rij voor %@,,Compacte rij voor %@
app,Compacte rijen,,Compacte rijen
app,Cyaan,,Cyaan
app,Dag,,Dag
app,Dag van maand,,Dag van maand
app,Dag/Maand,,Dag/Maand
app,Dagelijks,,Dagelijks
app,Dagen,,Dagen
app,Dagen tellen,,Dagen tellen
app,Dagen tellen (0 = vandaag),,Dagen tellen (0 = vandaag)
app,Dagen vooraf,,Dagen vooraf
app,Datum,,Datum
app,Datum (dd/mm),,Datum (dd/mm)
app,Datum formattering,,Datum formattering
app,Datum in agenda kiezen,,Datum in agenda kiezen
app,Datumweergave,,Datumweergave
app,De Actieknop is alleen beschikbaar op iPhone 15 Pro en nieuwere modellen. Stel op je iPhone bij Instellingen › Actieknop › Opdracht de opdracht ‘Nieuwe taak’ in.,,De Actieknop is alleen beschikbaar op iPhone 15 Pro en nieuwere modellen. Ga op je iPhone naar Instellingen › Actieknop › Opdracht en kies ‘Nieuwe taak’.
app,"De app varieert de datum deterministisch rond dit interval. Zo blijft het spontaan, maar verspringt de planning niet bij iedere sync.",,"De app varieert de datum voorspelbaar rond dit interval. Zo blijft het spontaan, maar verspringt de planning niet bij iedere synchronisatie."
app,"De app varieert de datum voorspelbaar rond deze gekozen periode. Zo blijft het spontaan, maar verspringt de planning niet bij iedere synchronisatie.",,"De app varieert de datum voorspelbaar rond deze gekozen periode. Zo blijft het spontaan, maar verspringt de planning niet bij iedere synchronisatie."
app,De backup bevat %lld items. Er wordt eerst automatisch een veiligheidskopie gemaakt.,,De backup bevat %lld items. Er wordt eerst automatisch een veiligheidskopie gemaakt.
