instructie;en;nl;af;sq;am;ar;hy;as;az;eu;bn;my;bs;bg;ca;zh;da;de;et;fo;fi;fr;gl;ka;el;gu;he;hi;hu;ga;is;id;it;ja;kn;kk;km;ko;hr;lo;lv;lt;mk;ms;ml;mr;mn;ne;no;uk;or;ug;uz;fa;pl;pt;pa;ro;ru;sr;si;sk;sl;es;sw;ta;te;th;bo;cs;tr;ur;vi;cy;be;zu;sv;catalog;key;variation
Vertaal deze tekst.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;;
Streef naar ± 1 tekens (UI-ruimte). Mogelijk niet vertalen (merknaam/symbool/getal).; ; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app; ;
Streef naar ± 12 tekens (UI-ruimte).; of the app; over de app;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app; over de app;
Behoud de dynamische plaatshouders exact en in dezelfde volgorde: %@ (%@ = tekst, %lld = getal). Niet vertalen. Streef naar ± 11 tekens (UI-ruimte).;Edit %@;%@ bewerken;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;%@ bewerken;
Behoud de dynamische plaatshouders exact en in dezelfde volgorde: %@, %@ (%@ = tekst, %lld = getal). Niet vertalen. Behoud speciale tekens: ·. Streef naar ± 11 tekens (UI-ruimte). Mogelijk niet vertalen (merknaam/symbool/getal).;%1$@ · %2$@;%1$@ · %2$@;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;%@ · %@;
Behoud de dynamische plaatshouders exact en in dezelfde volgorde: %@, %lld (%@ = tekst, %lld = getal). Niet vertalen. Behoud speciale tekens: ·. Streef naar ± 19 tekens (UI-ruimte).;%1$@ · %2$lld years;%1$@ · %2$lld jaar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;%@ · %lld jaar;
Behoud de dynamische plaatshouders exact en in dezelfde volgorde: %@, %@ (%@ = tekst, %lld = getal). Niet vertalen. Behoud speciale tekens: —. Streef naar ± 11 tekens (UI-ruimte). Mogelijk niet vertalen (merknaam/symbool/getal).;%1$@ — %2$@;%1$@ — %2$@;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;%@ — %@;
Behoud de dynamische plaatshouders exact en in dezelfde volgorde: %@, %@ (%@ = tekst, %lld = getal). Niet vertalen. Streef naar ± 8 tekens (UI-ruimte). Mogelijk niet vertalen (merknaam/symbool/getal).;%1$@%2$@;%1$@%2$@;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;%@%@;
Behoud de dynamische plaatshouders exact en in dezelfde volgorde: %@, %@ (%@ = tekst, %lld = getal). Niet vertalen. Streef naar ± 10 tekens (UI-ruimte). Mogelijk niet vertalen (merknaam/symbool/getal).;%1$@, %2$@;%1$@, %2$@;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;%@, %@;
Behoud de dynamische plaatshouders exact en in dezelfde volgorde: %@, %lld (%@ = tekst, %lld = getal). Niet vertalen. Streef naar ± 18 tekens (UI-ruimte).;%1$@, %2$lld items;%@, %lld items;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;%@, %lld items;
Behoud de dynamische plaatshouders exact en in dezelfde volgorde: %@ (%@ = tekst, %lld = getal). Niet vertalen. Streef naar ± 20 tekens (UI-ruimte).;%@, move task;%@, taak verplaatsen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;%@, taak verplaatsen;
Behoud de dynamische plaatshouders exact en in dezelfde volgorde: %lld (%@ = tekst, %lld = getal). Niet vertalen. Streef naar ± 4 tekens (UI-ruimte). Mogelijk niet vertalen (merknaam/symbool/getal).;%lld;%lld;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;%lld;
Behoud de dynamische plaatshouders exact en in dezelfde volgorde: %lld (%@ = tekst, %lld = getal). Niet vertalen. Streef naar ± 14 tekens (UI-ruimte).;%lld completed;%lld afgerond;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;%lld afgerond;
Meervoudsvorm 'one' (one=enkelvoud, other=meervoud). Gebruik de telregels van de doeltaal. Behoud de dynamische plaatshouders exact en in dezelfde volgorde: %lld (%@ = tekst, %lld = getal). Niet vertalen. Streef naar ± 8 tekens (UI-ruimte).;%lld day;%lld dag;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;%lld dagen;plural.one
Meervoudsvorm 'other' (one=enkelvoud, other=meervoud). Gebruik de telregels van de doeltaal. Behoud de dynamische plaatshouders exact en in dezelfde volgorde: %lld (%@ = tekst, %lld = getal). Niet vertalen. Streef naar ± 10 tekens (UI-ruimte).;%lld days;%lld dagen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;%lld dagen;plural.other
